"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"949",1950,1,"    0.00","    3.65","    4.69","   11.35","    0.00","    1.67","    1.67","    0.00","    0.00","   11.66","    0.00","    0.00","   22.68","    0.00","    2.09","    1.67","    0.00","    1.67","    3.20","    0.00","    8.20","    0.00","    1.67","    6.15","    3.13","    0.00","    1.67","    0.00","    0.00","    0.00","    8.20"
"950",1950,2,"    0.00","    8.20","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   22.80","    3.20","    0.00","    0.00","    0.00","   11.40","    0.00","    0.00","    0.00","    6.53","    0.00","    0.00","    4.87","   19.47","    0.00","    3.20","    4.87","    0.00","    0.00","    9.74","NA","NA","NA"
"951",1950,3,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.20","    0.00","    6.53","    0.00","    0.00","    0.00","   13.07","    0.00","    0.00","    0.00","    0.00","    4.69","    0.74","    0.00","   12.59","    0.00","    2.82","    0.00","    3.20","    0.00","    0.00"
"952",1950,4,"    4.48","    3.20","    1.67","   22.68","    3.13","    0.00","    1.67","    0.00","    0.00","    0.00","    4.09","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.47","    0.13","    0.00","    7.39","    0.00","    0.00","    6.87","    0.00","    3.34","    0.00","    0.00","    0.00","NA"
"953",1950,5,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.74","    0.00","    0.00","    3.13","    0.00","    0.00","    0.00","    0.00","    0.00","    1.26","    0.00","    0.53","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.99"
"954",1950,6,"    1.26","    7.08","    0.74","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.16","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    1.57","    0.00","    1.78","   41.19","    0.00","    0.00","    0.00","    0.00","    0.00","    0.74","    0.00","NA"
"955",1950,7,"    0.00","    3.34","    0.00","    1.57","    1.78","    0.53","    0.00","    0.00","    0.00","    0.00","    4.17","    0.00","    1.57","    0.00","    0.00","   24.03","   17.17","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   13.43","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.30"
"956",1950,8,"    5.52","    1.26","    1.57","    1.57","    0.00","    0.00","    0.00","    0.00","   33.50","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.74","   17.69","    0.00","    6.56","    0.00","    0.00","    0.00","    0.00","    0.00","    3.34","    0.00","   39.84","    0.00","   37.76","    0.00","    0.00"
"957",1950,9,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.53","    7.60","   22.68","    5.00","    0.00","    0.00","   12.07","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","NA"
"958",1950,10,"    0.00","    5.52","    0.00","    1.26","    0.00","    0.00","    0.00","    1.05","   14.99","    0.00","   33.29","    1.78","    1.78","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.05","    0.00","    0.00","    0.74","    1.26","    0.00","    3.34","    3.13","    0.00","    0.00","    0.00"
"959",1950,11,"    0.00","    0.00","    0.00","   22.80","    0.00","    0.00","    4.17","    1.26","    3.96","    0.13","    1.67","    0.13","    0.00","    2.09","    1.78","    0.00","    0.00","    0.00","    0.15","   22.66","    0.00","    0.00","    0.00","   22.80","   12.07","    1.67","    0.74","    9.10","   22.80","    0.00","NA"
