V1,V2,V3,V4,V5,V6,V7
1.22,6.32,9.31,3.93,0.95,6.28,2.07
0.85,2.74,7.06,0.65,0.81,12.55,3.82
7.74,1.5,2.52,1.16,1.19,2.25,3.86
1.73,3.6,7.96,7.81,1.01,0.51,1.08
0.23,2.61,1.85,0.83,1.12,0.44,0.02
0.56,0.43,1.07,4.32,3.14,1.6,1.23
1.43,6.5,10.41,3.66,1.08,0.93,4.3
2.04,1.78,4.02,8.48,2.68,2.72,0.88
0.69,1.75,6.92,2.1,1.04,1.02,1.23
0.27,2.1,4.5,5.97,0.69,1.27,3.05
2.2,2.02,1.16,0.39,1.61,5.4,0.62
0.51,0.36,1.16,2.9,3.29,0.82,0.91
7.94,9.01,2.08,1.35,0.23,1.67,5.24
4.23,10.7,6.41,1.03,0.36,1.45,0.59
1.27,3.32,3.82,1.85,1.09,0.24,0.26
0.73,0.85,1.81,5.79,0.83,0.69,1.93
2.61,1.72,6.54,2.19,1.56,0.28,0.68
2.24,1.1,0.48,1.54,4,6.9,2.07
0.16,1.71,6.02,0.63,0.31,0.66,1.36
0.65,0.15,0.6,0.85,2.25,0.58,0.03
1.01,1.25,1.23,2.04,2.04,3.7,1.84
0.59,1.45,3.18,7.17,1.96,5.45,2.36
0.3,0.84,1.52,1.24,2.02,3.79,2.84
0.26,1.2,3.29,1.32,6.75,3.52,0.38
1.08,2.47,1.68,1.08,5.37,8.48,3.07
6.75,4.86,2.76,2.36,3.06,4.73,3.41
4.29,3.24,3.76,2.13,0.84,0.24,0.76
0.64,1.95,4.77,2.36,4.04,1.82,5.87
4.4,8.78,0.93,3.78,2.19,0.67,1.54
1.65,8.33,1.77,1.1,0.8,3.01,3.54
2.69,5,6.41,3.77,1.88,0.81,0.08
0.31,0.73,0.38,1.75,0.87,0.02,0.29
0.83,2.05,1.2,2.3,3.75,4.38,3.59
1.53,1.99,2.29,2.57,7.11,1.28,2.24
3.92,12.15,8.91,2.95,4.26,0.41,3.31
2.22,0.83,0.15,0.61,0.06,0.01,0.73
3.57,2.41,3.55,4.67,4.55,2.06,0.23
0.95,6.13,1.08,0.26,0.68,1.23,0.89
0.42,0.15,0.06,1.66,0.7,1.11,3.88
4.85,7.49,2.94,0.52,0.23,1.58,3.19
2.29,8.87,3.87,7.73,4.37,1.24,0.79
2.06,2.41,1.4,1.68,1.41,2.44,0.55
1.16,1.54,2.68,0.49,0.26,3.56,0.68
0.08,0.37,0,2,0.44,3.42,7.69
3.19,3.44,3.7,6.36,6.53,1.63,0.9
1.16,0.6,1.59,4.69,5.37,1.06,1.32
7.82,6.25,1.26,1.39,4.73,8.47,11.01
5.88,3.05,3.58,3.64,1.91,1.3,6.02
6.24,2.28,0.06,2.42,9.36,4.53,1.74
1.31,2.64,2.23,2.21,1.16,0.95,1.45
1.93,0.73,0.84,1.72,3.8,1.72,2.8
2.09,1.18,0.93,1.39,0.71,0.78,0.47
1.37,1.99,5.98,9.62,1.64,1.93,1.69
1.36,0.95,0.64,1.08,1.19,0.15,1.02
6.04,2.06,0.51,0.63,0.47,0.94,4.66
0.84,2.32,6,2.74,1.11,1.51,0.64
1.19,1.07,0.5,5.63,7.47,2.22,1.39
1.6,2.21,7.79,2.31,0.3,0.69,3.81
3.38,3.95,1.5,0.1,0.01,2.06,2.58
1.18,4.65,2.3,2.46,0.25,0.38,0.71
2.05,7.32,1.97,2.99,4.51,1.85,10.16
1.12,0.37,1.08,0.89,1.11,0.26,0.83
0.76,0.35,2.6,4.66,2.55,1.44,0.2
2.83,10.98,2.3,1,2.15,4.63,2.76
0.26,0.26,1.07,2.3,7.99,14.91,2.89
4.89,2.42,1.29,0.84,0.72,0.04,0.84
0.95,1.67,2.22,1.73,13.78,4.08,4.77
3.52,1.69,0.52,3.59,0.77,0.16,4.25
5.94,0.71,1.51,8.75,1.71,4.02,3.39
0.49,0.04,0.02,0.42,0.54,0.21,0.11
0.43,0.29,0.69,0.52,2.53,4.64,0.87
1.18,1.87,1.19,2.38,0.46,0.98,1.11
2.69,0.71,4.53,0.82,1.03,0.65,4.25
5.06,2.79,0.6,0.63,0.38,4.25,3.05
3.23,1.36,0.72,0.75,0.37,1.08,3.92
5.11,0.73,2.79,6.48,1.56,2.35,1.74
0.38,1.59,4.07,9.69,3.87,6.21,3.46
4.19,1.76,5.2,3.05,5.43,2.43,4.89
3.59,1.38,4.78,17.06,1.58,0.36,0.89
4.9,2.32,1.39,4.41,4.23,0.48,1.9
2.48,3.22,1.62,5.87,2.1,1.25,5.64
1.01,0.98,2.42,1.48,1.12,1.87,1.99
1.53,4.31,1.03,2.5,6.47,2.5,0.43
1.75,1.79,2.97,1.99,0.7,0.91,0.73
0.37,1.76,1.56,5.36,3.21,0.4,1.49
2,9.03,8.06,0.1,0.05,0.84,2.82
1.91,0.36,0.5,0.68,8.26,9.23,1.21
0.67,0.25,0.34,4.01,9.6,0.56,0.13
3.46,9.12,1.49,6.26,7.81,2.88,1.92
1.14,1.64,1.75,2,2.7,2.42,9.29
2.51,2.27,1.66,10.44,3.18,0.72,0.71
0.96,3.86,5.55,3.85,3.64,2.15,4.95
10.59,1.54,0.11,0.04,0.01,0,0.81
0.95,0.6,1.5,0.57,4.64,3.76,1.83
2.1,7.82,11.52,8.39,0.77,0.86,1.34
2.15,1.45,3.1,1.72,0.83,4.68,3.47
3.53,0.8,12.49,7.12,1.05,0.23,0.4
0.26,4.34,9.59,4.71,2.36,2.64,1.98
2,0.54,0.69,0.85,3.52,1,0.6
4.7,2.38,1.86,0.83,0.21,0.34,0.28
0.39,2.53,5.67,3.1,2.13,2.18,1.78
1.98,1.69,3.39,1.42,0.79,5.64,2.79
0.85,4.63,5.57,1.1,8.89,5.06,3.57
1.81,2.09,5.11,2.23,0.63,2.91,1.83
1.51,5.29,1.38,2.3,1.32,3.35,1.27
0.25,0.09,2.31,2.03,0.63,0.65,0.38
1.85,4.76,4.27,1.51,3.89,0.66,5.99
2.82,0.47,6.59,1.97,1.15,6.81,3.47
0.82,0.69,0.41,1,0.78,0.72,0.96
5.63,5.03,0.63,1.78,1.84,3.67,3.21
3.21,1.19,0.16,0.14,0.51,0.52,0.98
1.95,0.24,0.57,3.8,2.17,0.75,0.61
0.66,0.29,0.49,0.84,0.58,0.68,0.55
0.63,2.1,8.02,1.39,0.42,0.48,0.75
0.8,9.54,4.78,0.32,0.53,0.2,1.18
0.76,0.63,3.36,5.73,2.26,0.39,3.15
4.11,1.24,0.6,1.44,0.36,0.1,0.44
1.1,3.76,7.74,2.41,0.98,4.06,7.73
4.07,0.07,0.95,2.27,2.76,0.13,2.85
9.59,2.13,0.05,0.25,0.1,0.46,0.22
0.51,2.01,4.84,0.69,0.11,0.35,0.75
0.55,0.32,0.05,0.02,0.56,0.13,0.21
2,2.37,0.86,2.05,0.47,0.68,3.19
7.85,9.27,1.89,4.24,3.31,0.53,0.75
0.24,0.18,7.21,2.97,0.47,1.98,11.03
4.18,1.16,2.76,1.9,0.75,0.92,3.46
1.29,5.37,3.24,1.21,2.71,1.81,4.04
4.99,1.52,1.32,0.55,0.08,0.91,0.38
2.81,5.09,1.59,1.32,0.46,0.55,1.27
0.7,2.85,5.98,3.54,1.72,0.59,9.65
4.38,0.8,0.99,5.21,7.55,2.11,0.5
4.11,5.47,7.32,3.48,3.16,1.79,4.94
1.08,3.45,2.73,2.68,3.23,7.08,2.11
10.2,2.89,3.65,3.04,1.76,2.05,3.27
2.42,2.6,1.96,1.49,1.98,2.68,1.9
2.7,12.53,1.96,0.27,1.33,3.06,9.14
6.35,1.71,0.67,1.47,1.33,7.47,7.96
1.02,1.26,1.17,3.55,4.29,0.11,0.52
0.22,0.46,0.06,1.79,1.58,1.29,3.69
8.81,6.26,5.92,2.1,1.64,2.85,1.25
0.25,0.09,0.37,0.34,0.81,0.69,1.07
10.67,4.59,3.83,1.73,10.34,2.08,1.44
2.61,1.47,1.07,1.13,2.55,0.78,0.24
0.99,0.46,1.6,7.56,1.16,1.13,1.47
1.47,2.33,0.6,0.91,0.07,0.07,0.34
1.65,1.69,5.87,3.63,1.36,0.54,1.76
1.41,1.06,0.04,0.43,0.34,0.12,0.09
0.31,2.33,0.55,0.14,0.3,0.53,0.37
4.28,0.53,0.24,2.25,2.69,2.02,1.62
0.67,0.72,0.6,0.13,0.09,0.43,0.49
2.95,7.81,6.48,5.03,3.26,9.02,8.71
2.38,0.62,4,5.35,3.05,1.47,1.19
0.28,0.96,1.6,0.43,6.25,7.35,1.33
0.09,0.86,5.63,7.61,2.68,1.56,5.49
5.88,1.12,0.27,0.3,0.21,0.49,1.9
1.09,1.16,2.51,2.56,1.18,2,0.65
0.69,1.06,0.51,0.31,0.39,0.83,1.21
0.92,3.42,2.14,0.88,2.65,1.46,5.34
2.81,1.77,1.39,3.9,4.26,0.92,5.33
2.07,1.01,0.48,0.59,0.76,5.04,5.66
0.98,2.53,2.96,2.94,1.9,3.4,4.51
2,3.38,1.04,0.58,2.59,2.98,1.29
0.91,0.27,0.31,5.27,2.14,1.27,1.37
2.17,1.44,1.5,1.16,0.48,9.06,3.41
0.55,0.47,0.71,1.35,2.77,2.28,1.4
0.16,1.05,13.98,4.04,1.89,0.88,1.27
1.02,0.76,0.34,0.73,3.4,1.36,2.37
7.82,1.72,0.08,2.62,1.76,0.34,1.22
1.99,7.27,3.48,3.4,4.81,5.65,3.58
0.68,0.86,0.5,0.75,0.06,1.32,1.83
1.25,0.86,1.1,0.47,4.15,6.67,1.28
0.21,0.17,0.76,4.22,4.89,2.15,1.19
1.38,0.87,0.21,3.36,0.7,1.78,8.14
4.57,2.41,0.64,0.04,4.55,4.82,3.23
0.87,0.69,0.47,0.14,0.19,0.38,0.7
3.15,3.55,2.81,0.48,2.38,3.41,1.42
6.8,3.25,1.36,3.85,8.13,1.5,0.57
0.98,6.78,6.06,0.44,2.42,6.8,11.37
1.79,0.06,0.59,1.49,7.48,6.12,1.6
1.72,9.93,1.41,0.39,1.71,3.52,0.47
0.96,1.44,6.2,2.23,0.51,0.62,7.93
0.67,0.34,0.24,3.36,7.91,2.16,2.17
1.21,1.89,3.61,9.52,7.1,2.65,1.33
5.74,6.44,3.45,1.48,0.52,0.77,2.33
2.5,2.34,0.83,0,0.01,1.79,4.96
1.57,0.87,5.47,4.17,0.55,1.07,4.5
3.28,2.15,2.46,1.67,0.77,0.28,2.72
0.62,4.05,14.22,3.51,2.88,2.04,2.6
4.06,3.51,3.04,3.16,1.16,2.73,1.91
2.09,0.36,0.09,0.88,0.7,0.55,0.46
1.8,1.14,0.59,1.83,1.69,2.02,4.2
2.76,1.67,3.93,6.73,1.64,8.01,3.63
1.52,1.38,0.54,0.4,2.52,8.29,10.79
2.69,1.51,3.29,1.08,1.16,1.78,11.78
6.09,2.6,0.27,1.25,2.11,9.98,6.26
3.3,0.4,0.86,0.72,0.07,0.25,4.08
1.65,2.2,2.14,0.39,0.27,0.22,0.96
0.96,0.12,0.08,0.11,0.04,0.34,1
0.27,0.51,0.01,0.41,0.97,2.13,1.23
1.36,1.07,2.61,2.18,0.2,0.83,0.65
1.17,1.34,1.39,0.62,0.16,0.57,6.55
2.7,0.68,2.41,1.19,0.03,0.04,0.14
0.01,0.07,0.42,0.05,1.62,5.84,3.18
7.04,2.14,5.04,5.5,3.52,0.98,0.38
0.89,1.69,0.8,1.53,5.42,5.37,3.37
4.21,1.22,0.25,5.06,2.72,0.62,0.65
1.47,8.67,2.36,0.72,2.19,1.3,0.92
1.08,3.7,4.47,2.67,1.37,1.48,2.23
2.44,1.25,1.5,2.46,4.6,1.89,2.12
0.89,0.25,0.98,2.96,1.41,4.57,3.34
1.22,1.3,0.96,1.84,2.23,1.52,2.17
1.05,1.83,1.69,8.54,1.18,1.64,1.84
1.14,2.31,5.04,6.91,0.91,4.42,2.29
1.37,2.52,1.42,1.74,0.36,0.65,0.36
2.31,2.21,1.61,2.52,0.85,0.98,1.73
1.97,6.92,12.4,2.84,0.12,0.73,6.63
3.8,0.44,2.89,2.53,2.4,1.64,1.27
7.67,12.49,7.04,5.79,2.25,3.05,0.78
0.43,0.77,1.88,0.43,0.39,1.64,2.12
2.27,1.19,0.14,0.13,0.66,6.55,4.14
1.12,1.49,0.4,5.22,12.18,2.6,1.28
3.15,5.54,0.23,0.29,1.11,0.77,0.9
0.31,2.89,7.54,7.76,1.72,0.31,3.43
2.39,0.24,0.3,1.7,12.92,9.27,1.87
1.23,2.95,2.02,4.14,1.95,1.6,1.53
0.96,5.88,8.87,1.59,0.75,5.06,2.4
4.83,7.74,2.3,1.97,1.35,5.14,3.54
2.67,2.33,1.35,0.2,0.22,1,0.84
1.41,0.41,0.09,0.31,0.08,0.07,0.5
0.69,1.59,0.57,0.05,3.66,8.87,3.39
0.24,3.64,6.4,1.96,5.27,4.17,2.08
0.15,0.23,0.23,0.42,1.47,3.48,8.03
1.78,3.8,1.89,2.26,2.71,3.13,2.73
4.62,10.28,3.26,0.67,1.07,4.54,3.19
1.1,1.26,2.11,4.28,1.22,1.2,1.73
1.88,1.51,2.68,1.46,0.59,0.44,0.04
1.78,2.89,0.88,2.04,0.47,2,1.75
1.43,1.03,2.87,0.3,0.59,0.78,0.76
2.43,1.38,3.51,2.13,6.93,4.18,4.45
1.7,4.61,4.44,3.15,0.65,0.65,1.85
3,3.26,7.85,2.56,0.69,2.72,3
2.07,1.41,0.5,2.28,1.13,0.74,0.34
2.3,7.01,3.94,3.55,0.26,1.84,4.62
2.49,6.63,8.2,1.84,3.87,0.75,1.56
0.96,4.77,1.08,0.43,1.58,4.51,0.31
2.05,6.4,0.72,4.94,1.94,1.71,13.34
5.18,2.34,15.24,1.73,0.69,3.64,1.87
2.23,1.92,1.46,11.03,6.34,4.72,4.79
10.22,0.42,0.6,1.13,0.4,0.53,1.27
7.1,4.18,6.65,3.6,17.17,31.93,6.03
1.98,0.16,0.11,0.23,0.18,0.16,0.45
3.48,1.7,2.94,1.46,2.86,4.8,1.82
2.09,2.18,3.48,4.31,4.6,1.54,0.47
0.29,0.18,0.03,0.38,0.52,0.23,2.36
0.5,0.87,1.11,2.17,4.1,5.16,1.71
1.47,2.36,3.8,3.72,1.42,2.24,5.53
4.45,4.6,1.3,1.46,2.37,2.24,1.63
0.43,0.45,0.73,1.16,2.34,0.86,0.84
0.88,0.4,3.3,3.3,0.69,4.39,4.87
1.23,0.41,1.01,2.47,3.23,0.55,0.76
1.39,5.38,4.7,4.86,2.68,0.85,5.31
1.83,1.67,0.91,5.12,0.91,0.52,0.98
2.74,1.11,1.35,1.52,1.38,4.1,4.18
1.45,1.25,0.46,0.32,1.06,5.73,2.72
2.21,1.91,2.49,4.67,0.65,1.84,0.62
1.27,3.75,0.5,0.42,0.09,2.03,3.5
1.22,0.55,2.31,1.79,3.85,1.83,1.21
0.94,3.54,2.24,3.58,0.73,1.52,2.7
4.91,2.96,1.52,0.91,1.02,1.89,2.24
3.43,6.2,3.18,1.6,4,0.95,1.4
1.32,0.8,2.01,1.89,5.28,2.82,3.22
1.12,1.62,4.94,1.71,0.64,1.43,0.52
2.08,7.3,9.39,2.16,1.4,3.18,6.52
1.41,0.38,0.41,0.17,0.03,0.42,1.55
0.71,0.35,0.78,1.03,0.67,0.14,0
0.01,0.99,0.69,4.83,9.26,1.85,3.19
2.11,6.96,1.81,6.5,1.22,0.33,1.27
4.31,1.85,0.72,0.81,0.81,0.5,0.26
0.81,3.82,2.8,1.97,0.95,2.96,4.21
1.98,1.01,0.69,0.06,0.19,0.68,0.63
1.55,0.99,0.04,0.27,0.07,0.01,0.41
3.16,5.42,5.96,5.43,2.08,8.1,6.39
2.54,0.79,0.12,1.45,0.98,1.52,0.46
1.54,2.6,4.3,3.32,1.85,1.16,6.54
3.35,0.49,0.02,0.09,0.34,1.15,1.26
1.88,2.08,5.03,3.16,0.47,0.31,0.55
0.46,0.32,1.49,2.26,6.02,5.12,2.09
0.84,0.89,2.47,1.2,1.86,1.94,0.09
0.18,0.12,1.43,0.75,3.5,9.65,2.52
0.47,0.91,0.01,0.18,3.41,1.15,2.66
0.24,0.62,6.08,3.36,1.72,1.86,0.62
1.08,0.73,1.58,4.5,3.16,3.37,11.34
3.35,0.11,2.89,5.25,1.96,0.87,15.15
1.9,0.98,1.01,0.02,0.01,3.47,6.71
1.56,3.41,0.81,1.33,0.21,1.15,0.63
2.18,7.41,10.18,3.44,0.51,0.02,0.39
0.88,1.17,0.68,0.63,0.66,2.99,9.98
3.25,0.26,2.21,3.41,2.51,0.68,4.46
4.78,1.75,0.58,1.69,1.38,6.3,0.66
0.09,0.84,8.57,0.62,2.73,0.92,1.19
1.43,3.2,1.09,17.82,8.1,12.41,0.88
0,0,1.31,8.63,5.17,10.6,11.76
6.09,1.91,1.2,0.29,4.62,1.22,0.73
6.08,4.74,0.95,0.59,0.41,1.94,9.04
9.61,2.15,2.75,9.38,3.5,0.83,1.35
3.51,2.09,1.86,1.37,1.6,1.62,0.29
4.69,0.82,7.4,6.21,1.56,2.15,2.12
3.54,0.6,6.62,5.75,0.82,1.28,2.15
3.09,4.07,2.44,0.74,2.19,4.06,5.48
3.15,1.42,1.32,2.63,2.23,2.11,1.83
0.76,0.76,3.8,3.1,2.7,2.12,1.82
0.94,0.9,0.41,4.34,3.6,2.79,0.98
0.2,0.3,0.75,2.17,1.58,1.27,1.24
0.24,2.39,2.94,1.19,1.92,1.28,0.42
0.94,1.72,1.64,1.69,0.81,0.17,0.57
1.52,0.97,0.7,1.61,3.64,2.13,1.19
2.08,0.55,0.32,0.8,0.43,2.33,5.29
2.45,5.93,1.17,1.64,2.31,0.43,0.62
1.17,5.04,1.3,0.81,1.38,0.67,5.94
3.11,1.76,1.18,0.2,2.36,5.28,2.62
0.34,0.92,0.73,0.57,0.82,6.48,5.1
1.51,0.36,0.13,0.13,2.38,1.56,0.96
2.1,3,8.41,8.52,3.18,1.17,1.13
0.75,0.87,0.43,2.46,0.67,2.97,0.49
0.24,0.01,0.04,0.58,0.34,1.74,0.44
1.43,0.43,0.16,2.88,3.73,0.88,0.14
2.95,2.69,6.82,1.68,0.36,2.23,6.94
0.35,0,0.01,0.17,0.5,0.63,3.76
6.3,5.91,2.05,1.09,0.34,0.42,1.56
1,0.33,0.17,1.1,1.42,10.71,9.34
7.25,0.13,0.61,4.1,2.79,2.32,2.81
