"weeknumber","precipitation"
1," 4.30"
2," 4.07"
3," 2.89"
4," 3.39"
5," 1.01"
6," 1.76"
7," 4.04"
8," 3.23"
9," 2.11"
10," 2.55"
11," 1.91"
12," 1.42"
13," 3.93"
14," 3.54"
15," 1.69"
16," 1.80"
17," 2.23"
18," 2.62"
19," 1.55"
20," 0.73"
21," 1.87"
22," 3.17"
23," 1.79"
24," 2.39"
25," 3.32"
26," 3.99"
27," 2.18"
28," 3.06"
29," 3.18"
30," 2.89"
31," 2.95"
32," 0.62"
33," 2.59"
34," 2.72"
35," 5.13"
36," 0.66"
37," 3.01"
38," 1.60"
39," 1.14"
40," 2.97"
41," 4.17"
42," 1.71"
43," 1.48"
44," 2.00"
45," 3.68"
46," 2.26"
47," 5.85"
48," 3.63"
49," 3.80"
50," 1.71"
51," 1.93"
52," 1.08"
53," 3.46"
54," 0.91"
55," 2.19"
56," 2.17"
57," 2.78"
58," 2.67"
59," 1.94"
60," 1.70"
61," 4.41"
62," 0.81"
63," 1.79"
64," 3.81"
65," 4.24"
66," 1.58"
67," 4.17"
68," 2.07"
69," 3.72"
70," 0.26"
71," 1.42"
72," 1.31"
73," 2.10"
74," 2.39"
75," 1.63"
76," 2.97"
77," 4.18"
78," 3.85"
79," 4.23"
80," 2.80"
81," 3.17"
82," 1.55"
83," 2.68"
84," 1.55"
85," 2.02"
86," 3.27"
87," 3.16"
88," 2.22"
89," 4.71"
90," 2.99"
91," 3.07"
92," 3.57"
93," 1.87"
94," 1.98"
95," 4.69"
96," 2.49"
97," 3.66"
98," 3.70"
99," 1.31"
100," 1.51"
101," 2.54"
102," 2.53"
103," 4.24"
104," 2.37"
105," 2.35"
106," 0.91"
107," 3.28"
108," 3.33"
109," 0.77"
110," 3.11"
111," 0.96"
112," 1.44"
113," 0.58"
114," 1.97"
115," 2.48"
116," 2.33"
117," 1.18"
118," 3.97"
119," 1.87"
120," 1.83"
121," 1.32"
122," 0.26"
123," 1.66"
124," 3.98"
125," 3.44"
126," 2.16"
127," 2.81"
128," 1.39"
129," 1.87"
130," 3.58"
131," 3.08"
132," 4.32"
133," 3.19"
134," 3.84"
135," 2.15"
136," 4.43"
137," 3.85"
138," 1.70"
139," 1.30"
140," 4.12"
141," 0.52"
142," 4.95"
143," 1.41"
144," 2.05"
145," 0.83"
146," 2.36"
147," 0.50"
148," 0.65"
149," 1.95"
150," 0.45"
151," 6.18"
152," 2.58"
153," 2.60"
154," 3.42"
155," 1.45"
156," 1.59"
157," 0.71"
158," 2.40"
159," 2.91"
160," 2.23"
161," 2.75"
162," 1.98"
163," 1.65"
164," 2.75"
165," 1.36"
166," 3.32"
167," 1.43"
168," 2.22"
169," 4.31"
170," 0.86"
171," 2.25"
172," 1.94"
173," 2.35"
174," 2.89"
175," 0.49"
176," 2.46"
177," 3.64"
178," 4.98"
179," 2.73"
180," 2.74"
181," 2.84"
182," 2.41"
183," 3.90"
184," 2.96"
185," 1.78"
186," 2.60"
187," 1.90"
188," 4.27"
189," 2.80"
190," 0.73"
191," 1.90"
192," 4.05"
193," 3.63"
194," 3.33"
195," 4.08"
196," 1.38"
197," 1.12"
198," 0.38"
199," 0.79"
200," 1.27"
201," 1.69"
202," 1.03"
203," 1.60"
204," 3.51"
205," 2.72"
206," 2.10"
207," 2.52"
208," 2.43"
209," 2.32"
210," 2.06"
211," 1.61"
212," 2.54"
213," 3.29"
214," 1.20"
215," 1.74"
216," 4.52"
217," 2.14"
218," 5.58"
219," 1.09"
220," 2.15"
221," 3.47"
222," 1.71"
223," 3.42"
224," 4.10"
225," 2.20"
226," 3.64"
227," 3.84"
228," 1.23"
229," 0.41"
230," 2.69"
231," 3.39"
232," 2.00"
233," 2.61"
234," 3.95"
235," 1.84"
236," 1.23"
237," 1.69"
238," 1.11"
239," 3.57"
240," 2.44"
241," 3.30"
242," 1.21"
243," 3.36"
244," 3.62"
245," 1.95"
246," 4.44"
247," 4.38"
248," 4.64"
249," 2.08"
250,"10.95"
251," 0.47"
252," 2.72"
253," 2.67"
254," 0.57"
255," 2.23"
256," 2.93"
257," 2.58"
258," 0.97"
259," 2.55"
260," 1.38"
261," 3.60"
262," 1.71"
263," 2.34"
264," 1.86"
265," 2.06"
266," 1.65"
267," 1.82"
268," 2.18"
269," 2.21"
270," 2.97"
271," 2.48"
272," 1.71"
273," 4.58"
274," 0.62"
275," 0.53"
276," 2.97"
277," 2.89"
278," 1.32"
279," 2.50"
280," 0.75"
281," 0.48"
282," 5.22"
283," 1.12"
284," 3.04"
285," 0.96"
286," 1.93"
287," 2.54"
288," 1.33"
289," 2.59"
290," 1.26"
291," 2.07"
292," 3.68"
293," 4.23"
294," 2.01"
295," 1.30"
296," 3.45"
297," 2.43"
298," 2.40"
299," 2.45"
300," 2.14"
301," 6.42"
302," 5.35"
303," 2.29"
304," 3.39"
305," 4.22"
306," 1.76"
307," 3.56"
308," 2.97"
309," 3.15"
310," 2.10"
311," 2.15"
312," 1.99"
313," 1.07"
314," 1.48"
315," 1.08"
316," 1.68"
317," 1.69"
318," 2.08"
319," 2.33"
320," 2.36"
321," 2.14"
322," 1.00"
323," 3.93"
324," 1.23"
325," 0.48"
326," 1.38"
327," 3.38"
328," 0.77"
329," 2.52"
330," 3.44"
331," 2.86"
332," 4.43"
333," 3.50"
334," 2.27"
335," 3.23"
336," 1.51"
337," 1.18"
338," 3.07"
339," 4.23"
340," 2.36"
341," 4.86"
342," 2.31"
343," 2.21"
344," 1.37"
345," 2.54"
346," 2.68"
347," 4.00"
348," 5.18"
349," 2.02"
350," 2.74"
351," 3.38"
352," 0.86"
353," 3.20"
354," 0.50"
355," 0.22"
356," 1.49"
357," 1.09"
358," 1.60"
359," 2.75"
360," 3.31"
361," 2.66"
362," 2.78"
363," 2.57"
364," 1.56"
365," 2.11"
366," 2.24"
367," 2.06"
368," 1.41"
369," 3.08"
370," 1.38"
371," 1.27"
372," 2.81"
373," 1.11"
374," 2.24"
375," 0.75"
376," 3.11"
377," 0.95"
378," 0.40"
379," 3.39"
380," 1.52"
381," 2.74"
382," 3.22"
383," 0.37"
384," 2.06"
385," 2.01"
386," 3.52"
387," 2.05"
388," 1.30"
389," 3.35"
390," 4.17"
391," 8.65"
392," 4.33"
393," 3.22"
394," 0.86"
395," 1.95"
396," 1.50"
397," 1.26"
398," 1.23"
399," 2.89"
400," 1.01"
401," 4.20"
402," 3.95"
403," 7.12"
404," 1.40"
405," 0.49"
406," 0.74"
407," 2.54"
408," 4.35"
409," 1.34"
410," 3.40"
411," 3.34"
412," 2.76"
413," 2.27"
414," 1.99"
415," 1.62"
416," 4.48"
417," 2.36"
418," 1.45"
419," 1.15"
420," 0.95"
421," 1.92"
422," 2.95"
423," 1.01"
424," 1.32"
425," 1.98"
426," 3.04"
427," 1.11"
428," 1.32"
429," 0.73"
430," 0.08"
431," 0.55"
432," 1.45"
433," 0.45"
434," 2.51"
435," 2.94"
436," 0.58"
437," 1.57"
438," 2.07"
439," 1.74"
440," 2.98"
441," 2.41"
442," 1.71"
443," 4.49"
444," 3.84"
445," 2.27"
446," 3.11"
447," 1.02"
448," 2.11"
449," 2.23"
450," 1.78"
451," 2.85"
452," 4.44"
453," 4.07"
454," 2.31"
455," 3.28"
456," 2.88"
457," 2.97"
458," 3.41"
459," 0.86"
460," 3.38"
461," 0.40"
462," 2.24"
463," 3.11"
464," 2.88"
465," 4.66"
466," 3.45"
467," 1.59"
468," 3.30"
469," 1.17"
470," 1.74"
471," 1.14"
472," 2.13"
473," 4.33"
474," 1.66"
475," 1.88"
476," 3.33"
477," 0.95"
478," 2.32"
479," 2.78"
